iter	Passed	Remaining
0	377	112754
1	824	122784
2	1322	130933
3	1752	129676
4	2367	139667
5	2811	137763
6	3284	137475
7	3736	136375
8	4115	133069
9	4494	130351
10	4827	126822
11	5144	123478
12	5466	120683
13	5744	117355
14	6052	114990
15	6359	112875
16	6666	110977
17	6937	108686
18	7207	106594
19	7469	104569
20	7735	102775
21	8023	101384
22	8314	100132
23	8668	99685
24	8998	98983
25	9360	98643
26	9728	98362
27	10045	97582
28	10407	97257
29	10736	96632
30	11082	96164
31	11399	95472
32	11773	95261
33	12130	94905
34	12410	93962
35	12827	94065
36	13166	93592
37	13507	93132
38	13929	93223
39	14322	93097
40	14758	93228
41	15097	92741
42	15460	92404
43	15786	91846
44	16099	91228
45	16425	90699
46	16768	90263
47	17125	89906
48	17473	89506
49	17827	89136
50	18236	89037
51	18608	88749
52	19061	88831
53	19558	89100
54	19932	88791
55	20290	88410
56	20657	88066
57	21045	87811
58	21464	87675
59	21824	87298
60	22132	86716
61	22453	86190
62	22764	85639
63	23130	85292
64	23475	84874
65	23844	84540
66	24210	84193
67	24554	83774
68	24863	83237
69	25184	82749
70	25458	82112
71	25755	81557
72	26074	81080
73	26422	80696
74	26731	80195
75	27044	79708
76	27350	79209
77	27643	78676
78	27981	78277
79	28308	77847
80	28622	77386
81	28871	76756
82	29145	76200
83	29409	75624
84	29660	75024
85	29920	74452
86	30233	74020
87	30510	73502
88	30779	72971
89	31030	72404
90	31278	71838
91	31526	71276
92	31766	70705
93	32020	70173
94	32271	69637
95	32491	69044
96	32772	68585
97	33023	68068
98	33291	67591
99	33537	67074
100	33796	66588
101	34063	66124
102	34302	65607
103	34552	65117
104	34800	64629
105	35040	64129
106	35282	63640
107	35558	63215
108	35847	62815
109	36098	62351
110	36323	61847
111	36601	61438
112	36870	61016
113	37143	60602
114	37388	60146
115	37613	59663
116	37864	59224
117	38091	58750
118	38342	58319
119	38557	57836
120	38826	57437
121	39085	57027
122	39356	56634
123	39619	56233
124	39905	55867
125	40178	55484
126	40485	55150
127	40770	54785
128	41063	54432
129	41309	54020
130	41535	53583
131	41777	53170
132	42012	52752
133	42244	52332
134	42582	52045
135	42838	51657
136	43081	51257
137	43354	50894
138	43652	50561
139	43951	50229
140	44255	49905
141	44538	49556
142	44786	49170
143	45136	48897
144	45455	48590
145	45690	48194
146	45974	47851
147	46240	47490
148	46464	47088
149	46696	46696
150	46960	46338
151	47203	45961
152	47472	45610
153	47724	45245
154	47985	44889
155	48220	44510
156	48458	44137
157	48676	43747
158	48926	43387
159	49168	43022
160	49413	42661
161	49656	42300
162	49910	41949
163	50143	41582
164	50246	41110
165	50493	40759
166	50740	40410
167	50968	40046
168	51197	39685
169	51312	39238
170	51537	38879
171	51633	38425
172	51854	38066
173	51957	37624
174	52049	37178
175	52277	36831
176	52374	36395
177	52597	36050
178	52824	35708
179	52929	35286
180	53164	34953
181	53277	34542
182	53375	34125
183	53487	33720
184	53779	33430
185	53887	33027
186	54172	32735
187	54421	32421
188	54540	32031
189	54677	31655
190	54910	31336
191	55132	31011
192	55371	30698
193	55467	30307
194	55683	29983
195	55784	29599
196	55871	29212
197	56082	28890
198	56172	28509
199	56272	28136
200	56534	27845
201	56790	27551
202	56923	27199
203	57033	26839
204	57141	26480
205	57359	26173
206	57484	25826
207	57612	25482
208	57750	25144
209	57994	24854
210	58099	24506
211	58323	24209
212	58428	23865
213	58534	23523
214	58657	23190
215	58760	22851
216	58864	22515
217	58979	22184
218	59123	21867
219	59231	21538
220	59336	21210
221	59439	20884
222	59546	20560
223	59663	20243
224	59767	19922
225	59878	19606
226	60007	19297
227	60128	18987
228	60263	18684
229	60381	18377
230	60504	18072
231	60650	17776
232	60784	17478
233	60906	17178
234	61165	16918
235	61294	16622
236	61425	16328
237	61527	16028
238	61629	15729
239	61734	15433
240	61848	15141
241	62111	14886
242	62249	14601
243	62391	14319
244	62647	14063
245	62779	13780
246	63052	13529
247	63179	13247
248	63438	12993
249	63549	12709
250	63735	12442
251	63906	12172
252	64060	11900
253	64238	11633
254	64425	11369
255	64796	11136
256	64945	10866
257	65222	10617
258	65399	10352
259	65591	10091
260	66005	9862
261	66261	9610
262	66467	9350
263	66841	9114
264	67004	8849
265	67174	8586
266	67356	8324
267	67630	8075
268	67771	7810
269	68057	7561
270	68339	7313
271	68466	7048
272	68590	6783
273	68719	6520
274	68851	6259
275	68979	5998
276	69114	5738
277	69383	5490
278	69502	5231
279	69617	4972
280	69859	4723
281	69972	4466
282	70076	4209
283	70208	3955
284	70439	3707
285	70693	3460
286	70853	3209
287	70973	2957
288	71224	2710
289	71341	2460
290	71456	2209
291	71599	1961
292	71725	1713
293	71850	1466
294	72098	1222
295	72345	977
296	72504	732
297	72638	487
298	72775	243
299	73067	0
